"Running,Gym,Sports Running Shoes ",Red,Men,MILESWALKER,299,70.0,3.8,26753.0,3353.0
GO RUN FAST Running Shoes ,Black,Men,Skechers,2999,40.0,4.4,37.0,11.0
Walking Shoes ,Black,Men,MILESWALKER,360,63.0,3.8,961.0,141.0
Walking Shoes ,Grey,Men,Aadi,379,62.0,4.1,1850.0,262.0
FLEX ADVANTAGE 3.0-MORWICK Walking Shoes ,Blue,Men,Skechers,3179,40.0,4.3,747.0,83.0
"Boots, Outdoors, Boat Shoes Casuals ",Tan,Men,Kraasa,474,52.0,3.8,34688.0,5135.0
Combo Pack of 5 Casual Loafer Sneakers Shoes High Tops ,Multicolor,Men,Shoefly,949,61.0,3.9,968.0,146.0
Propel 3D IDP Running Shoes ,Grey,Men,Puma,1399,65.0,4.2,6272.0,893.0
Jio-13 Running Shoes ,"Silver, Black",Men,Asian,499,16.0,4.1,244376.0,38977.0
Combo pack of 2 shoes for men Walking Shoes ,"Black, Blue",Men,Armado,498,50.0,3.6,8737.0,1039.0
"Airsocks-12 Men's Flyknit Socks Sneakers,Ultra-lightweight, Breathable, Walking, Running, Casual Athleisure Knitted Sock Shoes Walking Shoes ",Grey,Men,Asian,649,56.0,4.1,14562.0,2304.0
Wired Walking Shoes ,Black,Men,Puma,1749,50.0,4.4,527.0,75.0
Lightweight Gymwear Sport Running Shoes Cricket Shoes For Men Black Shoes (Boys) Running Shoes ,Boys) Running Shoes For Men  (Black,Men,RUFFBIRD,299,70.0,3.8,1798.0,268.0
Running Shoes ,Orange,Men,Aadi,426,57.0,4.1,22406.0,3339.0
"sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men� Running Shoes ","Black, White",Men,layasa,389,61.0,4.1,10830.0,1601.0
Ramen Basketball Shoe ,"Black, White",Men,Fila,1299,60.0,4.3,8594.0,1186.0
Socks Shoes Casuals ,"Blue, Black",Men,Sukun,423,57.0,4.1,11429.0,1534.0
STYLISH-WHITE-6 Sneakers ,White,Men,URBANBOX,178,64.0,3.8,2103.0,208.0
